P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,P_PERIOD,P_FLUX,P_TEMP_EQUIL,S_MASS,S_RADIUS,S_TEMPERATURE,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,P_HABITABLE
12.68972,92.805777,0.0466,4.008778,172.3946,922.37938,0.84,0.82,4990,0.37352402,0.47893362,1.1584076,0
12.521757,2739.6774,0.06814,5.6335158,721.75808,1247.3684,1.33,1.39,6380,2.8681441,1.2254166,2.8498603,0
9.71907,2302.9817,0.0361,2.875317,145.93631,885.45688,0.76,0.69,4595,0.19016426,0.34752946,0.85488264,0
12.4431,1547.8224,0.054062515,4.12448,449.67067,1161.3456,1.24,1.21,5588,1.2790425,0.85835323,2.0331261,0
12.8915,785.03517,0.044368276,3.21222,443.23625,1168.8833,1.13,1.11,5302,0.87235549,0.72038639,1.7221985,0
12.2189,425.88952,0.018557982,1.21288,2932.8693,1870.5861,0.58,0.96,5905,1.0039468,0.74618958,1.7523202,0
14.573,238.371,0.048704094,3.35524,1189.4829,1494.8053,1.37,1.38,6373,2.8146377,1.2144377,2.8246589,0
12.72335,180.84413,0.0466,3.6528151,324.07755,1080.8466,1.01,0.92,5519,0.70356767,0.63916259,1.5171305,0
7.0623,22.24796,0.053184492,4.23452,160.70138,904.62801,1.12,0.87,5079,0.45127368,0.52415551,1.2633703,0
11.4342,197.05336,0.04,3.039577,357.89626,1108.1134,0.94,0.9,5300,0.57263402,0.58371954,1.3955718,0
13.58652,198.96033,0.0434,3.257215,599.86488,1260.2196,1.02,1.1,5680,1.1284111,0.80187507,1.8942763,0
13.1157,279.68864,0.070858344,5.72319,415.69291,1148.6196,1.45,1.3,6087,2.0786844,1.061859,2.4832717,0
10.5374,206.5882,0.040567684,2.8997,297.82542,1058.3647,1.06,0.87,5185,0.49014231,0.54333629,1.3043854,0
16.1424,263.79724,0.045097536,2.8106,1194.9181,1497.4388,1.55,1.31,6304,2.4282649,1.1326703,2.6376318,0
12.2189,721.46957,0.062646047,5.00542,616.40832,1254.2468,1.31,1.39,6065,2.3422943,1.1286949,2.640825,0
22.1958,216.12304,0.03397,2.1500082,1914.2272,1677.113,1.13,1.37,6001,2.1808424,1.0933646,2.5618058,0
20.7385,292.40176,0.054801493,3.47447,1650.3313,1623.8193,1.82,1.79,6446,4.9562809,1.6046059,3.7277199,0
15.1335,2227.9743,0.098261753,5.45265,532.62244,1176.2975,4.26,1.73,6442,4.6181043,1.5492599,3.5993705,0
39.7955,2390.0666,0.13289301,3.64671,1022.7899,1440.5163,23.56,3.82,6096,18.054905,3.1277473,7.3131739,0
14.31517,587.40972,0.0241,1.3273468,1664.4337,1627.2772,1.03,1.04,5620,0.96671974,0.74483622,1.7625755,0
13.20538,371.54094,0.0379,2.797436,442.74946,1167.9119,0.93,0.88,5500,0.63489915,0.60783229,1.443621,0
9.24825,84.860077,0.0523,4.640382,224.25737,985.06605,0.89,0.92,5330,0.6120306,0.60248384,1.4389395,0
17.61091,190.37897,0.0509,3.54387,1551.4115,1598.9197,1.4,1.62,6430,4.0194124,1.4463726,3.3609743,0
17.0392,152.55744,0.05351793,4.45724,1608.8213,1613.5107,1.03,1.94,6080,4.6079358,1.5816535,3.6994213,0
22.9805,378.21532,0.051823488,2.69405,2337.4725,1771.4608,2.56,2.05,6390,6.2776891,1.8118632,4.2130143,0
14.3488,331.81244,0.0575,4.641878,690.06672,1305.773,1.18,1.53,5743,2.2815331,1.1359417,2.6787617,0
14.36001,210.40214,0.0443,3.332687,560.94767,1239.8681,1.05,1.1,5645,1.1008542,0.79366413,1.8767557,0
13.92282,111.87546,0.0507,4.301219,247.51675,1010.1556,0.94,0.95,5295,0.63562316,0.61515228,1.4709787,0
12.952003,1271.312,1.752,872.2,0.23816665,169.07138,0.94,0.95,5295,0.63562316,0.61515228,1.4709787,0
15.98546,283.50258,0.0452,3.128992,1228.2774,1507.5555,1.26,1.32,6330,2.5064056,1.1489577,2.6743304,0
14.39364,156.68921,0.0577,4.463129,745.6055,1327.4931,1.28,1.4,6120,2.4634877,1.1536485,2.6960554,0
17.8239,699.22161,0.049388842,2.69155,3372.119,1941.4251,2.22,2.06,6820,8.2254674,2.0244808,4.6801915,0
13.5641,311.47144,0.039273541,2.78849,919.41084,1402.8858,1.04,1.12,5960,1.4181094,0.88388158,2.0729407,0
14.43848,429.0678,0.0453,3.1220109,1975.6936,1694.306,1.27,1.7,6280,4.0274028,1.4608145,3.4032511,0
14.49453,98.208853,0.05069,4.2180278,335.03355,1086.8687,0.98,1.04,5449,0.8543239,0.70713334,1.6821947,0
11.31089,259.98331,0.03694,2.7535953,360.88027,1109.9557,0.89,0.89,5131,0.49189988,0.54581712,1.312978,0
14.77478,471.65676,0.03159,1.9616241,1669.2194,1622.9304,1.09,1.21,5956,1.650738,0.95385905,2.2372669,0
10.58224,241.54928,0.04117,3.799847,75.676448,750.6511,0.65,0.62,4390,0.12791754,0.28706786,0.71290152,0
13.25022,184.9759,0.04604,3.5852467,495.45448,1197.5938,1.01,1.01,5808,1.0400107,0.76395014,1.7984226,0
16.9271,734.18269,0.04359412,2.79083,1893.5248,1680.5934,1.42,1.47,6566,3.5985441,1.3578004,3.1487402,0
19.5054,448.13748,0.050147504,2.4653,1957.7097,1694.6577,2.77,1.85,6330,4.9231939,1.6102816,3.7481146,0
16.5908,419.53296,0.058388197,3.85298,1285.0796,1525.3778,1.79,1.62,6570,4.3810696,1.4978335,3.4732831,0
21.1869,167.49536,0.03951,2.6054552,2416.1311,1754.2365,1.21,1.86,5835,3.5931717,1.4176754,3.3350379,0
17.8239,248.85933,0.04363,2.972086,2167.6239,1735.7175,1.25,1.88,6002,4.1094936,1.500792,3.5163478,0
23.37285,108.06152,0.06505,4.8101025,2318.5803,1767.8705,1.64,2.55,6406,9.8110784,2.2629363,5.2604829,0
18.78796,1137.8243,0.06555,4.7869491,2321.5373,1768.4339,1.65,1.93,7394,9.9751871,2.190104,5.0472105,0
16.9271,584.80353,0.038440527,2.20474,4041.1179,2031.2823,1.56,2,6389,5.9714554,1.767223,4.1092833,0
20.9627,2154.8739,0.04739,2.7443245,7036.6825,2333.3877,1.89,1.86,8450,15.803067,2.7566073,6.3527473,0
15.694,406.81984,0.044819501,3.07634,1624.5036,1617.4285,1.27,1.57,6200,3.2632828,1.3213304,3.0829493,0
15.61553,238.05317,0.05287,3.9228107,939.10066,1408.4669,1.28,1.34,6350,2.6157314,1.1723458,2.7278235,0
14.59542,589.57095,0.0444,3.446459,587.88373,1251.0884,0.99,1.04,5870,1.1505559,0.80051767,1.8815272,0
10.86249,167.17753,0.04491,3.312846,742.43185,1261.2249,1.1,1.1,5880,1.2959353,0.84907327,1.9951548,0
18.03689,1000,0.0507,3.619188,1533.6413,1594.3213,1.33,1.54,6563,3.9422095,1.4214014,3.2963694,0
7.75732,46.519402,0.0441,3.142702,1029.8928,1443.2545,1.16,1.17,6357,2.0029459,1.0254451,2.3857279,0
13.58652,172.58061,0.04057,3.0440499,407.93589,1137.8565,0.96,0.89,5523,0.66034187,0.6190746,1.4692667,0
11.64719,340.39379,0.03815,2.7667641,439.34388,1161.9567,0.97,0.93,5346,0.63295139,0.61215898,1.4612471,0
